Accession	Virus Name	Virus Taxonomic ID	Host Taxonomic ID	Completeness	Isolate Collection date	Release date
MG212461.1	Human poliovirus 3	12086	9606.0	COMPLETE	2001	2017-12-16T00:00:00Z
MG212462.1	Human poliovirus 2	12083	9606.0	COMPLETE	2001	2017-12-16T00:00:00Z
MG212463.1	Human poliovirus 2	12083	9606.0	COMPLETE	2001	2017-12-16T00:00:00Z
MG212465.1	Human poliovirus 2	12083	9606.0	COMPLETE	1999	2017-12-16T00:00:00Z
MG212466.1	Human poliovirus 3	12086	9606.0	COMPLETE	2000	2017-12-16T00:00:00Z
MG212467.1	Human poliovirus 3	12086	9606.0	COMPLETE	1999	2017-12-16T00:00:00Z
MG212468.1	Human poliovirus 3	12086	9606.0	COMPLETE	1999	2017-12-16T00:00:00Z
MG212469.1	Human poliovirus 2	12083	9606.0	COMPLETE	1999	2017-12-16T00:00:00Z
MG212470.1	Human poliovirus 3	12086	9606.0	COMPLETE	1999	2017-12-16T00:00:00Z
MG212471.1	Human poliovirus 2	12083	9606.0	COMPLETE	1998	2017-12-16T00:00:00Z
MG212472.1	Human poliovirus 1	12080	9606.0	COMPLETE	1998	2017-12-16T00:00:00Z
MG212473.1	Human poliovirus 3	12086	9606.0	COMPLETE	2004	2017-12-16T00:00:00Z
MG212474.1	Human poliovirus 3	12086	9606.0	COMPLETE	2004	2017-12-16T00:00:00Z
MG212475.1	Human poliovirus 2	12083	9606.0	COMPLETE	2004	2017-12-16T00:00:00Z
MG212477.1	Human poliovirus 3	12086	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212478.1	Human poliovirus 3	12086	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212479.1	Human poliovirus 1	12080	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212480.1	Human poliovirus 2	12083	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212481.1	Human poliovirus 3	12086	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212482.1	Human poliovirus 3	12086	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG212483.1	Human poliovirus 3	12086	9606.0	COMPLETE	2001	2017-12-16T00:00:00Z
MG212484.1	Human poliovirus 2	12083	9606.0	COMPLETE	2000	2017-12-16T00:00:00Z
MG212486.1	Human poliovirus 2	12083	9606.0	COMPLETE	2000	2017-12-16T00:00:00Z
MG212487.1	Human poliovirus 2	12083	9606.0	COMPLETE	2002	2017-12-16T00:00:00Z
MG432108.1	Enterovirus A71	39054	9606.0	COMPLETE	1987	2018-02-19T00:00:00Z
MG450666.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2008	2018-03-10T00:00:00Z
MG581490.1	Enterovirus A71	39054	9606.0	COMPLETE	2017	2018-01-28T00:00:00Z
MG642820.1	Enterovirus B	138949	9606.0	COMPLETE	1969	2018-09-17T00:00:00Z
MG674827.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2015-07-18	2018-08-07T00:00:00Z
MG756691.1	Enterovirus A71	39054	9606.0	COMPLETE	2016	2018-11-07T00:00:00Z
MG756692.1	Enterovirus A71	39054	9606.0	COMPLETE	2016	2018-11-07T00:00:00Z
MG756693.1	Enterovirus A71	39054	9606.0	COMPLETE	2015	2018-11-07T00:00:00Z
MG756694.1	Enterovirus A71	39054	9606.0	COMPLETE	2015	2018-11-07T00:00:00Z
MG756695.1	Enterovirus A71	39054	9606.0	COMPLETE	2015	2018-11-07T00:00:00Z
MG756696.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756697.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756698.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756699.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756700.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756701.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756702.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756703.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756704.1	Enterovirus A71	39054	9606.0	COMPLETE	2005	2018-11-07T00:00:00Z
MG756705.1	Enterovirus A71	39054	9606.0	COMPLETE	2007	2018-11-07T00:00:00Z
MG756706.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756707.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756708.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756709.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756710.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756711.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756712.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756713.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756714.1	Enterovirus A71	39054	9606.0	COMPLETE	2008	2018-11-07T00:00:00Z
MG756715.1	Enterovirus A71	39054	9606.0	COMPLETE	2010	2018-11-07T00:00:00Z
MG756716.1	Enterovirus A71	39054	9606.0	COMPLETE	2010	2018-11-07T00:00:00Z
MG756717.1	Enterovirus A71	39054	9606.0	COMPLETE	2010	2018-11-07T00:00:00Z
MG756718.1	Enterovirus A71	39054	9606.0	COMPLETE	2010	2018-11-07T00:00:00Z
MG756719.1	Enterovirus A71	39054	9606.0	COMPLETE	2010	2018-11-07T00:00:00Z
MG756720.1	Enterovirus A71	39054	9606.0	COMPLETE	2011	2018-11-07T00:00:00Z
MG756721.1	Enterovirus A71	39054	9606.0	COMPLETE	2011	2018-11-07T00:00:00Z
MG756722.1	Enterovirus A71	39054	9606.0	COMPLETE	2011	2018-11-07T00:00:00Z
MG756723.1	Enterovirus A71	39054	9606.0	COMPLETE	2011	2018-11-07T00:00:00Z
MG756724.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756725.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756726.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756727.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756728.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756729.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756730.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756731.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756732.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756733.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756734.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756735.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756736.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756737.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756738.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756739.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756740.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756741.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756742.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756743.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756744.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756745.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756746.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756747.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756748.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756749.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756750.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756751.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756752.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756753.1	Enterovirus A71	39054	9606.0	COMPLETE	2012	2018-11-07T00:00:00Z
MG756754.1	Enterovirus A71	39054	9606.0	COMPLETE	2013	2018-11-07T00:00:00Z
MG881840.1	rhinovirus C15	1418033	9606.0	COMPLETE	2015-03-06	2018-03-11T00:00:00Z
MG950178.1	rhinovirus C56	2094116	9606.0	COMPLETE	2016	2018-03-03T00:00:00Z
MG950179.1	rhinovirus C56	2094116	9606.0	COMPLETE	2017	2018-03-03T00:00:00Z
MG957117.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2016-10-05	2018-08-01T00:00:00Z
MG976581.1	Enterovirus A71	39054	9606.0	COMPLETE	2016	2018-06-13T00:00:00Z
MG976582.1	Enterovirus A71	39054	9606.0	COMPLETE	1998	2018-06-13T00:00:00Z
MG982663.1	Coxsackievirus A21	12069	9606.0	COMPLETE	2017	2019-03-01T00:00:00Z
MG982664.1	Enterovirus B88	318571	9606.0	COMPLETE	2017	2019-03-01T00:00:00Z
MH041323.1	enterovirus D68	42789	9606.0	COMPLETE	2016-10	2019-03-31T00:00:00Z
MH041324.1	enterovirus D68	42789	9606.0	COMPLETE	2016-10	2019-03-31T00:00:00Z
MH043132.1	Echovirus E7	46018	9606.0	COMPLETE	1993-11	2018-03-19T00:00:00Z
MH043133.1	Echovirus E7	46018	9606.0	COMPLETE	1998-06	2018-03-19T00:00:00Z
MH043134.1	Echovirus E7	46018	9606.0	COMPLETE	1998-07	2018-03-19T00:00:00Z
MH043135.1	Echovirus E7	46018	9606.0	COMPLETE	1998-09	2018-03-19T00:00:00Z
MH043136.1	Echovirus E7	46018	9606.0	COMPLETE	2007-01	2018-03-19T00:00:00Z
MH043137.1	Echovirus E7	46018	9606.0	COMPLETE	2014-04	2018-03-19T00:00:00Z
MH118023.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118024.1	Enterovirus A76	306588	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118025.1	Enterovirus B88	318571	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118026.1	Echovirus E25	45101	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118027.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118028.1	Enterovirus A76	306588	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118029.1	Enterovirus A76	306588	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118030.1	Enterovirus A76	306588	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118031.1	Enterovirus A90	297248	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118033.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118034.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118035.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118036.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118037.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118038.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118039.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118040.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2016	2019-04-01T00:00:00Z
MH118041.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH118042.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2015	2019-04-01T00:00:00Z
MH118043.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2015	2019-04-01T00:00:00Z
MH118044.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118045.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118046.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118047.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118048.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118049.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118050.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118051.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118052.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH118053.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2012	2019-04-01T00:00:00Z
MH118054.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2012	2019-04-01T00:00:00Z
MH118055.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2012	2019-04-01T00:00:00Z
MH118056.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118057.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118058.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118059.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118060.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118061.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118062.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118063.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118064.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118065.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118066.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118067.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118068.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118069.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118070.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118071.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH118072.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118073.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118074.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118075.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118076.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118077.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118078.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118079.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118080.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118081.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118082.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118083.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2010	2019-04-01T00:00:00Z
MH118084.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118085.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118086.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118087.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118088.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118089.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH118090.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2009	2019-04-01T00:00:00Z
MH128992.1	Enterovirus C109	861519	9606.0	COMPLETE	2016-06-11	2018-05-13T00:00:00Z
MH128993.1	Enterovirus C109	861519	9606.0	COMPLETE	2016-02-17	2018-05-13T00:00:00Z
MH144590.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2015	2019-04-01T00:00:00Z
MH144591.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH144592.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH144594.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH144595.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH144596.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH144597.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH144598.1	enterovirus B79	2760813	9606.0	COMPLETE	2017	2019-04-01T00:00:00Z
MH144599.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH144600.1	Coxsackievirus B2	82639	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH144601.1	Enterovirus B88	318571	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH144603.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2019-04-01T00:00:00Z
MH144605.1	Echovirus E9	12060	9606.0	COMPLETE	2011	2019-04-01T00:00:00Z
MH144606.1	Enterovirus C99	1295563	9606.0	COMPLETE	2012	2019-04-01T00:00:00Z
MH144607.1	Enterovirus B88	318571	9606.0	COMPLETE	2012	2019-04-01T00:00:00Z
MH330334.1	enterovirus D68	42789	9606.0	COMPLETE	2017-09-14	2019-06-01T00:00:00Z
MH330336.1	Rhinovirus C	463676	9606.0	COMPLETE	2013-02-01	2019-06-01T00:00:00Z
MH371303.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2017-07	2018-12-04T00:00:00Z
MH426975.1	rhinovirus A30	185901	9606.0	COMPLETE	2018	2020-06-30T00:00:00Z
MH426976.1	rhinovirus A30	185901	9606.0	COMPLETE	2018	2020-06-30T00:00:00Z
MH517019.1	rhinovirus A103	1033850	9606.0	COMPLETE	2018	2020-06-30T00:00:00Z
MH536772.2	Coxsackievirus A6	86107	9606.0	COMPLETE	2017-07	2018-12-26T00:00:00Z
LC715248.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2021-12-25	2022-06-16T00:00:00Z
LC715423.2	Coxsackievirus A6	86107	9606.0	COMPLETE	2019-08-01	2022-06-16T00:00:00Z
LC720410.1	rhinovirus A73	185928	9606.0	COMPLETE	2019	2022-07-30T00:00:00Z
LC720411.1	rhinovirus A80	185934	9606.0	COMPLETE	2021	2022-07-30T00:00:00Z
LC720412.1	rhinovirus A80	185934	9606.0	COMPLETE	2021	2022-07-30T00:00:00Z
LC720413.1	rhinovirus A40	185908	9606.0	COMPLETE	2020	2022-07-30T00:00:00Z
LC720414.1	rhinovirus C6	1219378	9606.0	COMPLETE	2021	2022-07-30T00:00:00Z
LC720415.1	rhinovirus C55	2555550	9606.0	COMPLETE	2021	2022-07-30T00:00:00Z
LC756673.1	rhinovirus A15	185894	9606.0	COMPLETE	2018	2023-02-22T00:00:00Z
LC769225.1	Rhinovirus A	147711	9606.0	COMPLETE	2019	2023-05-30T00:00:00Z
LC769226.1	Rhinovirus B	147712	9606.0	COMPLETE	2022	2023-05-30T00:00:00Z
LC789193.1	Rhinovirus A	147711	9606.0	COMPLETE	2020-04-02	2023-12-06T00:00:00Z
LC789937.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2022-08-31	2023-12-08T00:00:00Z
LC789938.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2022-09-09	2023-12-08T00:00:00Z
LC789939.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2022-09-26	2023-12-08T00:00:00Z
LC817373.1	enterovirus D68	42789	9606.0	COMPLETE	2022	2024-05-23T00:00:00Z
LC817387.1	rhinovirus A80	185934	9606.0	COMPLETE	2021	2024-05-23T00:00:00Z
LC817388.1	rhinovirus A29	44129	9606.0	COMPLETE	2023	2024-05-23T00:00:00Z
LK021688.1	Enterovirus A120	1435148	9606.0	COMPLETE	2011	2014-05-20T00:00:00Z
LN854562.1	Coxsackievirus B1	12071	9606.0	COMPLETE	2011	2015-06-12T00:00:00Z
MF083152.1	Echovirus E12	35293	9606.0	COMPLETE	2013-06-02	2019-01-01T00:00:00Z
MF083153.1	Echovirus E12	35293	9606.0	COMPLETE	2013-06-06	2019-01-01T00:00:00Z
MF083154.1	Echovirus E12	35293	9606.0	COMPLETE	2013-06-14	2019-01-01T00:00:00Z
MF189180.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2016-11-16	2017-12-18T00:00:00Z
MF434051.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2008-08-28	2018-06-10T00:00:00Z
MF574099.1	Coxsackievirus B5	12074	9606.0	COMPLETE	2010-06-03	2019-02-12T00:00:00Z
MF662677.1	Enterovirus A71	39054	9606.0	COMPLETE	2009-04-06	2019-08-08T00:00:00Z
MF662678.1	Enterovirus A71	39054	9606.0	COMPLETE	2009-07-14	2019-08-08T00:00:00Z
MF662679.1	Enterovirus A71	39054	9606.0	COMPLETE	2009-07-25	2019-08-08T00:00:00Z
MF662680.1	Enterovirus A71	39054	9606.0	COMPLETE	2009-08-14	2019-08-08T00:00:00Z
MF662681.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-05-24	2019-08-08T00:00:00Z
MF662682.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-05-19	2019-08-08T00:00:00Z
MF662683.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-06-11	2019-08-08T00:00:00Z
MF662684.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-06-28	2019-08-08T00:00:00Z
MF662685.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-07-02	2019-08-08T00:00:00Z
MF662686.1	Enterovirus A71	39054	9606.0	COMPLETE	2010-09-05	2019-08-08T00:00:00Z
MF662687.1	Enterovirus A71	39054	9606.0	COMPLETE	2011-05-29	2019-08-08T00:00:00Z
MF662688.1	Enterovirus A71	39054	9606.0	COMPLETE	2011-06-12	2019-08-08T00:00:00Z
MF662689.1	Enterovirus A71	39054	9606.0	COMPLETE	2011-06-14	2019-08-08T00:00:00Z
MF662690.1	Enterovirus A71	39054	9606.0	COMPLETE	2011-06-19	2019-08-08T00:00:00Z
MF662691.1	Enterovirus A71	39054	9606.0	COMPLETE	2011-06-07	2019-08-08T00:00:00Z
MF662692.1	Enterovirus A71	39054	9606.0	COMPLETE	2012-06-17	2019-08-08T00:00:00Z
MF662693.1	Enterovirus A71	39054	9606.0	COMPLETE	2012-06-14	2019-08-08T00:00:00Z
MF662694.1	Enterovirus A71	39054	9606.0	COMPLETE	2012-06-14	2019-08-08T00:00:00Z
MF662695.1	Enterovirus A71	39054	9606.0	COMPLETE	2012-07-15	2019-08-08T00:00:00Z
MF662696.1	Enterovirus A71	39054	9606.0	COMPLETE	2012-07-26	2019-08-08T00:00:00Z
MF662697.1	Enterovirus A71	39054	9606.0	COMPLETE	2013-10-15	2019-08-08T00:00:00Z
MF662698.1	Enterovirus A71	39054	9606.0	COMPLETE	2013-09-26	2019-08-08T00:00:00Z
MF662699.1	Enterovirus A71	39054	9606.0	COMPLETE	2013-10-12	2019-08-08T00:00:00Z
MF662700.1	Enterovirus A71	39054	9606.0	COMPLETE	2013-10-15	2019-08-08T00:00:00Z
MF662701.1	Enterovirus A71	39054	9606.0	COMPLETE	2013-10-27	2019-08-08T00:00:00Z
MF775366.1	rhinovirus C53	2032983	9606.0	COMPLETE	2014-08-13	2017-09-05T00:00:00Z
MF775367.1	rhinovirus C53	2032983	9606.0	COMPLETE	2015-10-09	2017-09-05T00:00:00Z
MF806525.1	rhinovirus C47	2035045	9606.0	COMPLETE	2017-01-31	2017-09-16T00:00:00Z
MF973162.2	Enterovirus B	138949	9606.0	COMPLETE	2010-12	2017-11-20T00:00:00Z
LC483986.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2011	2020-05-14T00:00:00Z
LC483987.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2013	2020-05-14T00:00:00Z
LC483988.1	Coxsackievirus A10	42769	9606.0	COMPLETE	2016	2020-05-14T00:00:00Z
LC495296.1	Rhinovirus B	147712	9606.0	COMPLETE	2017-06-09	2019-08-15T00:00:00Z
LC495298.1	enterovirus D68	42789	9606.0	COMPLETE	2018-09-01	2019-08-15T00:00:00Z
LC495299.1	enterovirus D68	42789	9606.0	COMPLETE	2018-10-18	2019-08-15T00:00:00Z
LC506446.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2011	2020-11-18T00:00:00Z
LC506447.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2012	2020-11-18T00:00:00Z
LC506448.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2013	2020-11-18T00:00:00Z
LC506449.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2013	2020-11-18T00:00:00Z
LC506450.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2015	2020-11-18T00:00:00Z
LC506451.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2015	2020-11-18T00:00:00Z
LC506452.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2016	2020-11-18T00:00:00Z
LC506453.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2016	2020-11-18T00:00:00Z
LC506454.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2017	2020-11-18T00:00:00Z
LC506455.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2008	2020-11-18T00:00:00Z
LC506456.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2008	2020-11-18T00:00:00Z
LC506457.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2011	2020-11-18T00:00:00Z
LC506458.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2013	2020-11-18T00:00:00Z
LC506459.1	Coxsackievirus A16	31704	9606.0	COMPLETE	2013	2020-11-18T00:00:00Z
